No.,Domain,Rank,Conference Title,Acronym,CFP_URL,Papers_URL,Year,Include
1,Data management and data science,A*,ACM International Conference on Research and Development in Information Retrieval,SIGIR,https://sigir2025.dei.unipd.it/call-full-papers.html,https://sigir2025.dei.unipd.it/accepted-papers.html,2025,Yes
2,Data management and data science,A,ACM International Conference on Web Search and Data Mining,WSDM,https://www.wsdm-conference.org/2025/call-for-papers/,https://www.wsdm-conference.org/2025/accepted-papers/,2025,Yes
3,Data management and data science,A,ACM International Conference on Recommender Systems,RecSys,https://recsys.acm.org/recsys25/call/#content-tab-1-0-tab,https://recsys.acm.org/recsys25/accepted-contributions/,2025,Yes
4,Data management and data science,A,ACM International Conference on Information and Knowledge Management,CIKM,https://cikm2025.org/calls/full-research-papers,https://cikm2025.org/program/accepted-papers,2025,Yes
5,Data management and data science,A,European Conference on Information Retrieval,ECIR,https://ecir2025.eu/call-for-full-papers/,https://ecir2025.eu/accepted-papers/,2025,Yes
6,Data management and data science,A,International Semantic Web Conference,ISWC,https://iswc2025.semanticweb.org/#/calls/research,"https://link.springer.com/book/10.1007/978-3-032-09527-5?page=1#toc, https://link.springer.com/book/10.1007/978-3-032-09527-5?page=2#toc",2025,Yes
7,Distributed computing and systems software,A*,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,https://conferences.sigcomm.org/sigcomm/2025/cfp/,https://conferences.sigcomm.org/sigcomm/2025/accepted-papers/,2025,Yes
8,Distributed computing and systems software,A*,ACM Conference on Embedded Networked Sensor Systems,SENSYS,https://sensys.acm.org/2025/cfp.html,https://dl.acm.org/doi/proceedings/10.1145/3715014,2025,Yes
9,Distributed computing and systems software,A*,ACM International Conference on Mobile Computing and Networking,MOBICOM,https://www.sigmobile.org/mobisys/2025/call_for_papers/,https://www.sigmobile.org/mobicom/2025/accepted.html,2025,Yes
10,Distributed computing and systems software,A*,IEEE International Conference on Computer Communications,INFOCOM,https://infocom2025.ieee-infocom.org/authors/call-papers-main-conference,https://infocom2025.ieee-infocom.org/program/accepted-paper-list-main-conference,2025,Yes
11,Distributed computing and systems software,A*,Information Processing in Sensor Networks,IPSN, https://sensys.acm.org/2025/cfp.html,https://dl.acm.org/doi/proceedings/10.1145/3715014,2025,Yes
12,Distributed computing and systems software,A*,International World Wide Web Conference,WWW,https://www2025.thewebconf.org/research-tracks,https://www2025.thewebconf.org/full-schedule,2025,Yes
13,Distributed computing and systems software,A,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,https://conferences.sigcomm.org/co-next/2025/#!/cfp,https://conferences.sigcomm.org/co-next/2025/#!/program,2025,Yes
14,Distributed computing and systems software,A,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,https://www.sigmobile.org/mobihoc/2025/cfp.html,https://www.sigmobile.org/mobihoc/2025/accepted-papers.html,2025,Yes
15,Distributed computing and systems software,A,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,https://mswimconf.com/2025/cfp.html,https://mswimconf.com/2025/program.html,2025,Yes
16,Distributed computing and systems software,A,IEEE International Conference on Web Services,ICWS,https://services.conferences.computer.org/2025/icws-2025/icws-call-for-papers/,https://services.conferences.computer.org/2025/icws-program/,2025,Yes
17,Distributed computing and systems software,A,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,https://dsn2026.github.io/cfpapers.html,https://dsn2025.github.io/cpaccepted.html,2025,Yes
18,Distributed computing and systems software,A,Internet Measurement Conference,IMC,https://conferences.sigcomm.org/imc/2025/cfp/,https://conferences.sigcomm.org/imc/2025/accepted-papers/,2025,Yes
19,Human-centred computing,A*,IEEE International Conference on Pervasive Computing and Communications,PERCOM,https://percom.org/call-for-papers/,https://percom.org/2025/tech-prog-main-conference/,2025,Yes
20,Cybersecurity and privacy,A*,Usenix Network and Distributed System Security Symposium,NDSS,https://www.ndss-symposium.org/ndss2025/submissions/call-for-papers/,https://www.ndss-symposium.org/ndss2025/accepted-papers/,2025,Yes
21,Cybersecurity and privacy,A*,ACM Conference on Computer and Communications Security,CCS,https://www.sigsac.org/ccs/CCS2025/call-for-papers/,https://www.sigsac.org/ccs/CCS2025/accepted-papers/,2025,Yes
22,Cybersecurity and privacy,A,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,https://asiaccs2025.hust.edu.vn/call-for-papers/,https://asiaccs2025.hust.edu.vn/full-program/,2025,Yes
23,Applied computing,A,International Conference on Web and Social Media,ICWSM,https://www.icwsm.org/2025/submit/index.html#cfp-full-papers,https://www.icwsm.org/2025/attend/index.html#accepted,2025,Yes
24,Distributed computing and systems software,A,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,https://www.sigmobile.org/mobisys/2025/call_for_papers/,https://www.sigmobile.org/mobisys/2025/program/,2025,Yes
25,Distributed computing and systems software,A,International Conference on Distributed Computing Systems,ICDCS,https://icdcs2025.icdcs.org/call-for-papers/,https://icdcs2025.icdcs.org/accepted-papers/,2025,Yes
26,Distributed computing and systems software,A,International Conference on Service Oriented Computing,ICSOC,https://icsoc2025.hit.edu.cn/19951/list.htm,https://icsoc2025.hit.edu.cn/19959/list.htm,2025,Yes
27,Cybersecurity and privacy,A*,IEEE European Symposium on Security and Privacy,EuroS&P,https://eurosp2025.ieee-security.org/cfp.html,https://eurosp2025.ieee-security.org/accepted_and_awards.html,2025,Yes
28,Cybersecurity and privacy,A*,Usenix Security Symposium,USENIX-Security,https://www.usenix.org/conference/usenixsecurity25/call-for-papers ,https://www.usenix.org/conference/usenixsecurity25/technical-sessions,2025,Yes
29,Cybersecurity and privacy,A,Annual Computer Security Applications Conference,ACSAC,https://www.acsac.org/2025/submissions/topics/,https://www.acsac.org/2025/program/papers/,2025,Yes
30,Cybersecurity and privacy,A,European Symposium On Research In Computer Security,ESORICS,https://esorics2025.sciencesconf.org/resource/page/id/1,https://esorics2025.sciencesconf.org/resource/page/id/11,2025,Yes
31,Unknown,Unranked - A,ACM Symposium on Cloud Computing,SoCC,https://acmsocc.org/2025/papers.html,https://acmsocc.org/2025/schedule.html,2025,Yes
32,Unknown,B - A,Extended Semantic Web Conference,ESWC,https://2025.eswc-conferences.org/call-for-papers-research-track/,https://2025.eswc-conferences.org/research-resource-and-in-use-papers/,2025,No
33,Unknown,B - A,International Conference on Network Protocols,ICNP,https://ieeeicnp2025.pages.dev/cfp,https://ieeeicnp2025.pages.dev/acceptedpapers,2025,Yes
34,Unknown,B - A*,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM WiSec,https://wisec2025.gmu.edu/call-for-papers/,https://wisec2025.gmu.edu/program-detailed-program/,2025,Yes
35,Unknown,B - A*,International Conference on Applied Cryptography and Network Security,ACNS,https://acns2025.fordaysec.de/call-for-papers/,https://acns2025.fordaysec.de/program-2025/,2025,Yes
36,Unknown,B - A*,"IEEE/ACM International Symposium on Cluster, Cloud, and Internet Computing",CCGrid,https://site.uit.no/ccgrid2025/research-paper/,https://www.computer.org/csdl/proceedings/ccgrid/2025/27Y6B8jzv8Y,2025,Yes
37,Unknown,B - A*,Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,https://2025.eswc-conferences.org/call-for-contributions-eswc-2025/,Repeated,2025,No